Username,Tanggal,Teks,Jumlah_Like,Platform,Clean_Teks,Tokens,Label,Tanggal_Singkat,Topic_ID
@JasonHight-y6w,2026-06-18 11:41:40+00:00,"Very well done, appreciate this video!",0,YouTube,very well done appreciate this video,"['very', 'well', 'done', 'appreciate', 'this', 'video']",0,2026-06-18,-1
@JenniferEve-k3z,2026-06-15 20:00:58+00:00,Mid laner terburuk ada di ONIC,0,YouTube,mid laner terburuk ada di onic,"['mid', 'laner', 'terburuk', 'ada', 'di', 'onic']",1,2026-06-15,0
@zizany15ysukuofficial24,2026-06-14 17:54:59+00:00,INFO : BTR JUARA WAHAI FANS ONIC HATERSS BTR 😂 WKWKKWKWW,1,YouTube,info btr juara wahai fans onic haterss btr wkwkkwkww,"['info', 'btr', 'juara', 'wahai', 'fans', 'onic', 'haterss', 'btr', 'wkwkkwkww']",0,2026-06-14,0
@ZainalAbidin-j1e,2026-06-14 13:21:49+00:00,Ban lapu2 lutpi,0,YouTube,ban lapu lutpi,"['ban', 'lapu', 'lutpi']",0,2026-06-14,0
@nengaen5449,2026-06-14 04:35:53+00:00,Game 2 sama game terakhir harusnya btr bisa win sih.. sayangnya btr di game 2 blunder pas nyerang bareng lord maksa masuk turret lawan.. pas di game terakhir pas nyerang lord terakhir btr harusnya pas dapet lord mundur langsung jangan war..intinya si btr ini blunder soal lord sih..,1,YouTube,game sama game terakhir harusnya btr bisa win sih sayangnya btr di game blunder pas nyerang bareng lord maksa masuk turret lawan pas di game terakhir pas nyerang lord terakhir btr harusnya pas dapet lord mundur langsung jangan war intinya si btr ini blunder soal lord sih,"['game', 'sama', 'game', 'terakhir', 'harusnya', 'btr', 'bisa', 'win', 'sih', 'sayangnya', 'btr', 'di', 'game', 'blunder', 'pas', 'nyerang', 'bareng', 'lord', 'maksa', 'masuk', 'turret', 'lawan', 'pas', 'di', 'game', 'terakhir', 'pas', 'nyerang', 'lord', 'terakhir', 'btr', 'harusnya', 'pas', 'dapet', 'lord', 'mundur', 'langsung', 'jangan', 'war', 'intinya', 'si', 'btr', 'ini', 'blunder', 'soal', 'lord', 'sih']",0,2026-06-14,0
@nengaen5449,2026-06-14 04:13:55+00:00,Moment blunder btr 7:24:53 wkwk,1,YouTube,moment blunder btr wkwk,"['moment', 'blunder', 'btr', 'wkwk']",0,2026-06-14,0
@rifkiarisandichannel2353,2026-06-13 17:43:20+00:00,‎ไม่ต้องแปลก็ได้ ฉันก็เป็นคนอินโดนีเซียเหมือนกัน ขอให้โจโกวีจงเจริญ 🗿,3,YouTube,‎ไม่ต้องแปลก็ได้ ฉันก็เป็นคนอินโดนีเซียเหมือนกัน ขอให้โจโกวีจงเจริญ,"['\u200eไม่ต้องแปลก็ได้', 'ฉันก็เป็นคนอินโดนีเซียเหมือนกัน', 'ขอให้โจโกวีจงเจริญ']",0,2026-06-13,0
@NaufalHuda-k9q,2026-06-13 08:13:05+00:00,Hahaha lucu banget si 😂😂🤣😂🤣😂🤣😂😂😂😂😁🤭🤣😂😂🤣😂🤣😂😂😂🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨,0,YouTube,hahaha lucu banget si,"['hahaha', 'lucu', 'banget', 'si']",0,2026-06-13,0
@yansdeny4506,2026-06-13 06:22:26+00:00,Di fuur dl sm onic kasi kemenangan dulu buat Biget,0,YouTube,di fuur dl sama onic kasi kemenangan dulu buat biget,"['di', 'fuur', 'dl', 'sama', 'onic', 'kasi', 'kemenangan', 'dulu', 'buat', 'biget']",0,2026-06-13,0
@yansdeny4506,2026-06-13 06:00:54+00:00,Onic the best,0,YouTube,onic the best,"['onic', 'the', 'best']",0,2026-06-13,0
@Sakura-lpf,2026-06-13 03:48:29+00:00,"Mana nih yg bilang ""pokenic""? 😹
Bencong beraninya kluar pas ONIC kalah doang 😹",0,YouTube,mana nih yang bilang pokenic bencong beraninya kluar pas onic kalah doang,"['mana', 'nih', 'yang', 'bilang', 'pokenic', 'bencong', 'beraninya', 'kluar', 'pas', 'onic', 'kalah', 'doang']",1,2026-06-13,0
@admgiv,2026-06-12 18:07:02+00:00,ONIC🇮🇩🇵🇭🤍,0,YouTube,onic,['onic'],0,2026-06-12,0
@JeongLeeAn-H2H,2026-06-12 16:43:17+00:00,7:31:12,0,YouTube,,[],0,2026-06-12,1
@muhammadramdani-y6d,2026-06-12 15:44:19+00:00,"MANA NIHHH YANG KEMAREN GEEK BAKAL BANTAI ONIC KO KOMENYA DI HAPUS AWOKAWOK, KENA BANTAI KAN LU 3:0 😂",0,YouTube,mana nihhh yang kemaren geek bakal bantai onic ko komenya di hapus awokawok kena bantai kan kamu,"['mana', 'nihhh', 'yang', 'kemaren', 'geek', 'bakal', 'bantai', 'onic', 'ko', 'komenya', 'di', 'hapus', 'awokawok', 'kena', 'bantai', 'kan', 'kamu']",1,2026-06-12,0
@Renia_a,2026-06-12 13:37:15+00:00,"yg kemaren blg onic kebantai sm geek , komen ny ud dihapus , malu bgt tuh😹😹",0,YouTube,yang kemaren blg onic kebantai sama geek komen ny ud dihapus malu banget tuh,"['yang', 'kemaren', 'blg', 'onic', 'kebantai', 'sama', 'geek', 'komen', 'ny', 'ud', 'dihapus', 'malu', 'banget', 'tuh']",0,2026-06-12,0
@Kenz_Esport,2026-06-12 12:33:36+00:00,"sedang mencari komenan ""geek bakalan bantai onic besok"" ONIC 2-0 NIH BOSS, OTEWE CLEAN SWEEP. tuh yang dukung geek, mimpinya ditunda dulu🤭🤭",1,YouTube,sedang mencari komenan geek bakalan bantai onic besok onic nih boss otewe clean sweep tuh yang dukung geek mimpinya ditunda dulu,"['sedang', 'mencari', 'komenan', 'geek', 'bakalan', 'bantai', 'onic', 'besok', 'onic', 'nih', 'boss', 'otewe', 'clean', 'sweep', 'tuh', 'yang', 'dukung', 'geek', 'mimpinya', 'ditunda', 'dulu']",1,2026-06-12,0
@VladimirSubianto,2026-06-12 11:11:59+00:00,7:24:36 btw ini siapa ya namanya,2,YouTube,btw ini siapa ya namanya,"['btw', 'ini', 'siapa', 'ya', 'namanya']",0,2026-06-12,0
@MasJunaidi-e1o,2026-06-12 10:56:17+00:00,gelo onic,0,YouTube,gelo onic,"['gelo', 'onic']",1,2026-06-12,0
@painjinugroho9021,2026-06-12 09:56:34+00:00,3:25:17 mirip pak itu,0,YouTube,mirip pak itu,"['mirip', 'pak', 'itu']",1,2026-06-12,0
@khaleesistark,2026-06-12 06:38:55+00:00,"KIBOY P DALAM HATI : P*MAI NNTAU APA INI DA BEKENG"" 😭🤣",0,YouTube,kiboy p dalam hati p mai nntau apa ini da bekeng,"['kiboy', 'p', 'dalam', 'hati', 'p', 'mai', 'nntau', 'apa', 'ini', 'da', 'bekeng']",1,2026-06-12,0
