Username,Degree_Centrality,Betweenness_Centrality,Total_Komentar,Toxic_Count,Non_Toxic_Count,Dominasi
@SKIZYEPEP,0.029,0.029,2,1,2,🟢 Non-Toxic
@RidoSaputra-o3g,0.029,0.029,2,2,0,🔴 TOXIC
@DecadeID,0.029,0.029,2,0,2,🟢 Non-Toxic
@korneliusdavin7561,0.029,0.029,2,3,0,🔴 TOXIC
@SopyanAssauri-j2p,0.029,0.029,2,3,2,🔴 TOXIC
@hazziqhensem2207,0.029,0.0281,2,1,1,🟢 Non-Toxic
@MonkeyDLuffy-E21,0.029,0.0281,2,1,1,🟢 Non-Toxic
@ikkaSulistyana,0.029,0.0143,2,2,1,🔴 TOXIC
@AsepSanjo,0.029,0.0143,2,2,0,🔴 TOXIC
@kyleeTzzzyy,0.029,0.0107,2,1,1,🟢 Non-Toxic
@martabak-manis-keju,0.029,0.0107,2,4,3,🔴 TOXIC
@NendyJapan,0.029,0.0107,2,2,0,🔴 TOXIC
@author-cat-kittysyafa_syakira,0.029,0.0107,2,1,1,🟢 Non-Toxic
@tzyy112,0.029,0.0107,2,2,0,🔴 TOXIC
@Waduhhhc,0.029,0.0094,2,2,0,🔴 TOXIC
@ahmadmahpud1036,0.029,0.0094,2,1,1,🟢 Non-Toxic
@Rexjii28,0.029,0.0094,2,2,1,🔴 TOXIC
@shrlrmdhn.1427,0.0145,0.0,1,0,2,🟢 Non-Toxic
@NurMila-p9p,0.0145,0.0,1,3,0,🔴 TOXIC
@ahmadfauzi9207,0.0145,0.0,1,2,0,🔴 TOXIC
@ARIMUX,0.0145,0.0,1,0,2,🟢 Non-Toxic
@KucingFanny,0.0145,0.0,1,1,1,🟢 Non-Toxic
@bedsss-1,0.0145,0.0,1,2,0,🔴 TOXIC
@sandiprayoga2082,0.0145,0.0,1,4,0,🔴 TOXIC
@JenniferEve-k3z,0.0145,0.0,1,3,0,🔴 TOXIC
@MAS_RUSDI_48,0.0145,0.0,1,2,1,🔴 TOXIC
@nengaen5449,0.0145,0.0,1,0,2,🟢 Non-Toxic
@MasJunaidi-e1o,0.0145,0.0,1,1,1,🟢 Non-Toxic
@bilalofficial1115,0.0145,0.0,1,2,0,🔴 TOXIC
@samakarifin5739,0.0145,0.0,1,0,2,🟢 Non-Toxic
@zakysm,0.0145,0.0,1,0,2,🟢 Non-Toxic
@agungsandi6513,0.0145,0.0,1,1,1,🟢 Non-Toxic
@Konstantinopel-he8vt,0.0145,0.0,1,1,1,🟢 Non-Toxic
@zzeaeanita,0.0145,0.0,1,1,1,🟢 Non-Toxic
@PapaPipiSufi,0.0145,0.0,1,1,1,🟢 Non-Toxic
@DHS-129,0.0145,0.0,1,2,0,🔴 TOXIC
@IndahPonsel-t7l,0.0145,0.0,1,1,1,🟢 Non-Toxic
@tithon1911,0.0145,0.0,1,1,1,🟢 Non-Toxic
@woKBpml,0.0145,0.0,1,2,0,🔴 TOXIC
@Ninjaasssasinn,0.0145,0.0,1,2,0,🔴 TOXIC
@PepenkAjja,0.0145,0.0,1,1,2,🟢 Non-Toxic
@adhikaalfarisi3539,0.0145,0.0,1,1,1,🟢 Non-Toxic
@Necko.,0.0145,0.0,1,0,2,🟢 Non-Toxic
@ijukbaelah,0.0145,0.0,1,2,0,🔴 TOXIC
@dannytobing4339,0.0145,0.0,1,2,0,🔴 TOXIC
@andhikajuniar6880,0.0145,0.0,1,3,0,🔴 TOXIC
@Taka-3-z5x,0.0145,0.0,1,2,0,🔴 TOXIC
@allee1423,0.0145,0.0,1,2,0,🔴 TOXIC
@rafazyd-x,0.0145,0.0,1,2,0,🔴 TOXIC
@bangsakip7888,0.0145,0.0,1,0,2,🟢 Non-Toxic
@zulhabi,0.0145,0.0,1,2,0,🔴 TOXIC
@Panggilajakapten,0.0145,0.0,1,1,1,🟢 Non-Toxic
@AHJ-GABUT,0.0145,0.0,1,1,1,🟢 Non-Toxic
@boncuchanell804,0.0145,0.0,1,2,1,🔴 TOXIC
@faisalubaidillah1574,0.0145,0.0,1,1,1,🟢 Non-Toxic
@YulianaPku-j7p,0.0145,0.0,1,2,0,🔴 TOXIC
@rizalofficial1960,0.0145,0.0,1,2,0,🔴 TOXIC
@Mondzy62,0.0145,0.0,1,4,0,🔴 TOXIC
@ciatato3051,0.0145,0.0,1,0,2,🟢 Non-Toxic
@VrilloGaming,0.0145,0.0,1,2,0,🔴 TOXIC
